Academic Year,Program 1,Term 1,Program Type 1,Program 2,Term 2,Program Type 2,Need Category
2015-2016 Academic Year,Paideia 450: Stability and Change in Vietnam,J-Term,Luther J-Term,,,,No
2015-2016 Academic Year,"English 263: In Frankenstein's Footsteps: The Keats-Shelley Circle in London, Geneva, and Italy",J-Term,Luther J-Term,,,,No
2015-2016 Academic Year,"Music 249: Listening Live in London, Glasgow, and the Isle of Skye",J-Term,Luther J-Term,"Paideia 450: Cold Wars Then and Now: Germany, Czech Republic, and Ukraine",Summer,,No
2015-2016 Academic Year,Spanish Studies Abroad - Spanish Studies Program - Alicante,Spring,Other Sem./Year,,,,No
2015-2016 Academic Year,Spanish 340: Language and Culture in the Spanish-Speaking World (Spain),J-Term,Luther J-Term,,,,No
2015-2016 Academic Year,University of South-Eastern Norway at BÃ¸,Spring,Other Sem./Year,,,,No
2015-2016 Academic Year,Paideia 450: People and Parks: Pastoralism and Conservation in East Africa,J-Term,Luther J-Term,,,,No
2015-2016 Academic Year,"Paideia 450: Borders, Migration, and Identity: the Dominican Republic and Haiti",J-Term,Luther J-Term,,,,No
2015-2016 Academic Year,Paideia 450: People and Parks: Pastoralism and Conservation in East Africa,J-Term,Luther J-Term,,,,No
2015-2016 Academic Year,French 347: Introduction to Commercial French,J-Term,Luther J-Term,,,,No
2015-2016 Academic Year,Science 140: Belize: Environmental Implications of Eco-Adventure Growth in Central America,J-Term,Luther J-Term,,,,No
2015-2016 Academic Year,French 347: Introduction to Commercial French,J-Term,Luther J-Term,"ACM Chicago Program: Arts, Entrepreneurship, & Social Justice",Spring,,No
2015-2016 Academic Year,Earth & Environment in Italy,Fall,Luther Sem./Year,,,,No
2015-2016 Academic Year,"English 239:""Tales of the Sea"" on the Windjammer, Roseway",J-Term,Luther J-Term,,,,No
2015-2016 Academic Year,"ACM Chicago Program: Arts, Entrepreneurship, & Social Justice",Fall,Domestic Sem./Year,Paideia 450: English Theatre: Mirror of Society and of the Human Condition,J-Term,,No
2015-2016 Academic Year,Science 140: Belize: Environmental Implications of Eco-Adventure Growth in Central America,J-Term,Luther J-Term,,,,No
2015-2016 Academic Year,Paideia 450: English Theatre: Mirror of Society and of the Human Condition,J-Term,Luther J-Term,,,,No
2015-2016 Academic Year,API Spanish Language and Latin American Studies in Valparaiso,Spring,Other Sem./Year,,,,No
2015-2016 Academic Year,Paideia 450: English Theatre: Mirror of Society and of the Human Condition,J-Term,Luther J-Term,"ACM Chicago Program: Arts, Entrepreneurship, & Social Justice",Spring,,No
2015-2016 Academic Year,Nottingham Summer Nursing,Summer,Summer,,,,No
2015-2016 Academic Year,Malta and the Mediterranean,Spring,Luther Sem./Year,,,,No
2015-2016 Academic Year,Communication Studies 239: Communication and Sport in New Zealand,J-Term,Luther J-Term,,,,No
2015-2016 Academic Year,"English 239:""Tales of the Sea"" on the Windjammer, Roseway",J-Term,Luther J-Term,,,,No
2015-2016 Academic Year,Nottingham Summer Nursing,Summer,Summer,,,,No
2015-2016 Academic Year,"CIEE Tropical Ecology and Conservation in Monteverde, Costa Rica",Spring,Other Sem./Year,,,,No
2015-2016 Academic Year,International Student Teaching,Fall,Intl. Teaching,,,,No
2015-2016 Academic Year,"USAC Italy: International Business, Architecture/Design/Art, and Italian Studies in Torino",Fall,Other Sem./Year,"Paideia 450: Borders, Migration, and Identity: the Dominican Republic and Haiti",J-Term,,No
2015-2016 Academic Year,API Spanish Language and Latin American Studies in Valparaiso,Spring,Other Sem./Year,,,,No
2015-2016 Academic Year,"Art 290: Art in Cultural Perspective: European Art History, Gothic Renaissance, and the New Media Art",J-Term,Luther J-Term,,,,No
2015-2016 Academic Year,API Multidisciplinary Studies for Advanced/Superior Spanish Speakers in Cadiz,Fall,Other Sem./Year,,,,No
2015-2016 Academic Year,"Paideia 450: Borders, Migration, and Identity: the Dominican Republic and Haiti",J-Term,Luther J-Term,,,,No
2015-2016 Academic Year,Paideia 450: English Theatre: Mirror of Society and of the Human Condition,J-Term,Luther J-Term,,,,No
2015-2016 Academic Year,University of South-Eastern Norway at BÃ¸,Spring,Other Sem./Year,,,,No
2015-2016 Academic Year,"Music 249: Listening Live in London, Glasgow, and the Isle of Skye",J-Term,Luther J-Term,,,,No
2015-2016 Academic Year,"Paideia 450: Borders, Migration, and Identity: the Dominican Republic and Haiti",J-Term,Luther J-Term,,,,No
2015-2016 Academic Year,Spanish 340: Language and Culture in the Spanish-Speaking World (Spain),J-Term,Luther J-Term,,,,No
2015-2016 Academic Year,Paideia 450: English Theatre: Mirror of Society and of the Human Condition,J-Term,Luther J-Term,,,,No
2015-2016 Academic Year,Paideia 450: Entrepreneurship and the Common Good,J-Term,Luther J-Term,,,,No
2015-2016 Academic Year,Spanish 340: Language and Culture in the Spanish-Speaking World (Cuba),J-Term,Luther J-Term,,,,No
2015-2016 Academic Year,Malta and the Mediterranean,Spring,Luther Sem./Year,,,,No
2015-2016 Academic Year,"Paideia 450: Cold Wars Then and Now: Germany, Czech Republic, and Ukraine",Summer,Summer,,,,No
2015-2016 Academic Year,Spanish 340: Language and Culture in the Spanish-Speaking World (Spain),J-Term,Luther J-Term,,,,No
2015-2016 Academic Year,Spanish 340: Language and Culture in the Spanish-Speaking World (Spain),J-Term,Luther J-Term,,,,No
2015-2016 Academic Year,Religion 236: Disaster and Enlightenment: Pilgrimages in East Asia,J-Term,Luther J-Term,,,,No
2015-2016 Academic Year,ACM London & Florence: Arts in Context,Spring,Other Sem./Year,,,,No
2015-2016 Academic Year,Education 185/215: Clinical Experience 1 in the Schools,J-Term,Luther J-Term,,,,No
2015-2016 Academic Year,Biology 140/240: Introduction to Ecology of the Southwest/Ecology of the Southwest,J-Term,Luther J-Term,,,,No
2015-2016 Academic Year,Environmental Studies 239: Environmental Policy in the Pacific Northwest,J-Term,Luther J-Term,,,,No
2015-2016 Academic Year,French 347: Introduction to Commercial French,J-Term,Luther J-Term,,,,No
2015-2016 Academic Year,Spanish 340: Language and Culture in the Spanish-Speaking World (Cuba),J-Term,Luther J-Term,,,,No
2015-2016 Academic Year,French 347: Introduction to Commercial French,J-Term,Luther J-Term,,,,No
2015-2016 Academic Year,Spanish 340: Language and Culture in the Spanish-Speaking World (Cuba),J-Term,Luther J-Term,,,,No
