Academic Year,Program 1,Term 1,Program 2,Term 2,Need Category,Program Type 1
2015-2016 Academic Year,Paideia 450: Stability and Change in Vietnam,J-Term,,,No,Luther J-Term
2015-2016 Academic Year,"English 263: In Frankenstein's Footsteps: The Keats-Shelley Circle in London, Geneva, and Italy",J-Term,,,No,Luther J-Term
2015-2016 Academic Year,"Music 249: Listening Live in London, Glasgow, and the Isle of Skye",J-Term,"Paideia 450: Cold Wars Then and Now: Germany, Czech Republic, and Ukraine",Summer,No,Luther J-Term
2015-2016 Academic Year,Spanish Studies Abroad - Spanish Studies Program - Alicante,Spring,,,No,Other Sem./Year
2015-2016 Academic Year,Spanish 340: Language and Culture in the Spanish-Speaking World (Spain),J-Term,,,No,Luther J-Term
2015-2016 Academic Year,University of South-Eastern Norway at BÃƒÂ¸,Spring,,,No,Other Sem./Year
2015-2016 Academic Year,Paideia 450: People and Parks: Pastoralism and Conservation in East Africa,J-Term,,,No,Luther J-Term
2015-2016 Academic Year,"Paideia 450: Borders, Migration, and Identity: the Dominican Republic and Haiti",J-Term,,,No,Luther J-Term
2015-2016 Academic Year,Paideia 450: People and Parks: Pastoralism and Conservation in East Africa,J-Term,,,No,Luther J-Term
2015-2016 Academic Year,French 347: Introduction to Commercial French,J-Term,,,No,Luther J-Term
2015-2016 Academic Year,Science 140: Belize: Environmental Implications of Eco-Adventure Growth in Central America,J-Term,,,No,Luther J-Term
2015-2016 Academic Year,French 347: Introduction to Commercial French,J-Term,"ACM Chicago Program: Arts, Entrepreneurship, & Social Justice",Spring,No,Luther J-Term
2015-2016 Academic Year,Earth & Environment in Italy,Fall,,,No,Luther Sem./Year
2015-2016 Academic Year,"English 239:""Tales of the Sea"" on the Windjammer, Roseway",J-Term,,,No,Luther J-Term
2015-2016 Academic Year,"ACM Chicago Program: Arts, Entrepreneurship, & Social Justice",Fall,Paideia 450: English Theatre: Mirror of Society and of the Human Condition,J-Term,No,Domestic Sem./Year
2015-2016 Academic Year,Science 140: Belize: Environmental Implications of Eco-Adventure Growth in Central America,J-Term,,,No,Luther J-Term
2015-2016 Academic Year,Paideia 450: English Theatre: Mirror of Society and of the Human Condition,J-Term,,,No,Luther J-Term
2015-2016 Academic Year,API Spanish Language and Latin American Studies in Valparaiso,Spring,,,No,Other Sem./Year
2015-2016 Academic Year,Paideia 450: English Theatre: Mirror of Society and of the Human Condition,J-Term,"ACM Chicago Program: Arts, Entrepreneurship, & Social Justice",Spring,No,Luther J-Term
2015-2016 Academic Year,Nottingham Summer Nursing,Summer,,,No,Summer
2015-2016 Academic Year,Malta and the Mediterranean,Spring,,,No,Luther Sem./Year
2015-2016 Academic Year,Communication Studies 239: Communication and Sport in New Zealand,J-Term,,,No,Luther J-Term
2015-2016 Academic Year,"English 239:""Tales of the Sea"" on the Windjammer, Roseway",J-Term,,,No,Luther J-Term
2015-2016 Academic Year,Nottingham Summer Nursing,Summer,,,No,Summer
2015-2016 Academic Year,"CIEE Tropical Ecology and Conservation in Monteverde, Costa Rica",Spring,,,No,Other Sem./Year
2015-2016 Academic Year,International Student Teaching,Fall,,,No,Intl. Teaching
2015-2016 Academic Year,"USAC Italy: International Business, Architecture/Design/Art, and Italian Studies in Torino",Fall,"Paideia 450: Borders, Migration, and Identity: the Dominican Republic and Haiti",J-Term,No,Other Sem./Year
2015-2016 Academic Year,API Spanish Language and Latin American Studies in Valparaiso,Spring,,,No,Other Sem./Year
2015-2016 Academic Year,"Art 290: Art in Cultural Perspective: European Art History, Gothic Renaissance, and the New Media Art",J-Term,,,No,Luther J-Term
2015-2016 Academic Year,API Multidisciplinary Studies for Advanced/Superior Spanish Speakers in Cadiz,Fall,,,No,Other Sem./Year
2015-2016 Academic Year,"Paideia 450: Borders, Migration, and Identity: the Dominican Republic and Haiti",J-Term,,,No,Luther J-Term
2015-2016 Academic Year,Paideia 450: English Theatre: Mirror of Society and of the Human Condition,J-Term,,,No,Luther J-Term
2015-2016 Academic Year,University of South-Eastern Norway at BÃƒÂ¸,Spring,,,No,Other Sem./Year
2015-2016 Academic Year,"Music 249: Listening Live in London, Glasgow, and the Isle of Skye",J-Term,,,No,Luther J-Term
2015-2016 Academic Year,"Paideia 450: Borders, Migration, and Identity: the Dominican Republic and Haiti",J-Term,,,No,Luther J-Term
2015-2016 Academic Year,Spanish 340: Language and Culture in the Spanish-Speaking World (Spain),J-Term,,,No,Luther J-Term
2015-2016 Academic Year,Paideia 450: English Theatre: Mirror of Society and of the Human Condition,J-Term,,,No,Luther J-Term
2015-2016 Academic Year,Paideia 450: Entrepreneurship and the Common Good,J-Term,,,No,Luther J-Term
2015-2016 Academic Year,Spanish 340: Language and Culture in the Spanish-Speaking World (Cuba),J-Term,,,No,Luther J-Term
2015-2016 Academic Year,Malta and the Mediterranean,Spring,,,No,Luther Sem./Year
2015-2016 Academic Year,"Paideia 450: Cold Wars Then and Now: Germany, Czech Republic, and Ukraine",Summer,,,No,Summer
2015-2016 Academic Year,Spanish 340: Language and Culture in the Spanish-Speaking World (Spain),J-Term,,,No,Luther J-Term
