Acadeemic Year,Program 1,Term 1,Program 2,Term 2,Need Category,Program Type 1
2018-2019 Academic Year,Paideia 450: Stability and Change in Vietnam,J-Term,,,No,Luther J-Term
2018-2019 Academic Year,Paideia 450: People and Parks: Pastoralism and Conservation in East Africa,J-Term,,,No,Luther J-Term
2018-2019 Academic Year,Religion 236: Disaster and Enlightenment: Pilgrimages in East Asia,J-Term,,,No,Luther J-Term
2018-2019 Academic Year,English 262: Tolkien and Lewis in Context,J-Term,,,No,Luther J-Term
2018-2019 Academic Year,French 347: Introduction to Commercial French,J-Term,,,No,Luther J-Term
2018-2019 Academic Year,"English 239:""Tales of the Sea"" on the Windjammer, Roseway",J-Term,,,No,Luther J-Term
2018-2019 Academic Year,General Studies 105: Luther College Symphony Orchestra Residency in Vienna: An Exploration of Viennese Perfomances,J-Term,,,No,Luther J-Term
2018-2019 Academic Year,General Studies 105: Luther College Symphony Orchestra Residency in Vienna: An Exploration of Viennese Perfomances,J-Term,,,No,Luther J-Term
2018-2019 Academic Year,General Studies 105: Luther College Symphony Orchestra Residency in Vienna: An Exploration of Viennese Perfomances,J-Term,,,No,Luther J-Term
2018-2019 Academic Year,Paideia 450: People and Parks: Pastoralism and Conservation in East Africa,J-Term,,,No,Luther J-Term
2018-2019 Academic Year,Paideia 450: Removal and Restitution: Building Sustainable Communities in South Africa,J-Term,,,No,Luther J-Term
2018-2019 Academic Year,Science 239: Islamic Science in the Middle Ages Across the Mediterranean,J-Term,,,No,Luther J-Term
2018-2019 Academic Year,General Studies 105: Luther College Symphony Orchestra Residency in Vienna: An Exploration of Viennese Perfomances,J-Term,,,No,Luther J-Term
2018-2019 Academic Year,Chicago Center,Spring,,,No,Domestic Sem./Year
2018-2019 Academic Year,General Studies 105: Luther College Symphony Orchestra Residency in Vienna: An Exploration of Viennese Perfomances,J-Term,,,No,Luther J-Term
2018-2019 Academic Year,General Studies 105: Luther College Symphony Orchestra Residency in Vienna: An Exploration of Viennese Perfomances,J-Term,,,No,Luther J-Term
2018-2019 Academic Year,"Paideia 450: War, Peace and Reconciliation in Cambodia",J-Term,,,No,Luther J-Term
2018-2019 Academic Year,General Studies 105: Luther College Symphony Orchestra Residency in Vienna: An Exploration of Viennese Perfomances,J-Term,,,No,Luther J-Term
2018-2019 Academic Year,General Studies 105: Luther College Symphony Orchestra Residency in Vienna: An Exploration of Viennese Perfomances,J-Term,,,No,Luther J-Term
2018-2019 Academic Year,Paideia 450: Making Decisions for U. S. Schools: The Case in Hawaii,J-Term,,,No,Luther J-Term
2018-2019 Academic Year,Luther Nottingham Academic Year,Academic Year,,,No,Luther Sem./Year
2018-2019 Academic Year,Paideia 450: Green Europe: Advanced Models of Sustainability,J-Term,,,No,Luther J-Term
2018-2019 Academic Year,English 262: Tolkien and Lewis in Context,J-Term,,,No,Luther J-Term
2018-2019 Academic Year,Communications Studies 239/Physical Education 239: Communication and Adventure Recreation in New Zealand,J-Term,,,No,Luther J-Term
2018-2019 Academic Year,General Studies 105: Luther College Symphony Orchestra Residency in Vienna: An Exploration of Viennese Perfomances,J-Term,,,No,Luther J-Term
2018-2019 Academic Year,"ISA Veritas Christian Study Abroad & Missions: Valparaiso, Chile: Spanish Language & Latin American Studies â€“ Academic Year/Semester",Spring,,,No,Other Sem./Year
2018-2019 Academic Year,French 347: Introduction to Commercial French,J-Term,Malta and the Mediterranean,Spring,No,Luther J-Term
